Program ID,Program Name,Short Name,Degree,Faculty,Department,Category,Mode,Duration,Years,Semesters,Credits,Eligibility,Minimum Percentage,Required Stream,Admission Type,Entrance Required,Entrance Exam,Semester Fee,Annual Fee,Registration Fee,Hostel Fee,Hostel Included,Security Fee,Total Fee,Seats,Career Opportunities,Description,Approvals,Status,Scholarships,International Eligibility
1,B.Sc. Agriculture (Hons.),N/A,B.Sc. (Hons.),Faculty of Agriculture & Life Sciences,Agriculture,Science,Direct Entry,4 Year / 8 Sems (Direct) | 3 Year / 6 Sems (Lateral),N/A,8,N/A,Direct Entry: 10+2 Medical (PCB)/Non-Medical (PCM) OR Two Year Diploma in Agriculture after 10th or its equivalent from a recognized Board/University.; Lateral Entry: One Year Diploma in Agriculture after 10+2 or its equivalent from a recognized Board/University.,45,Science,Direct Entry,N/A,None,70200,N/A,5500,N/A,N/A,N/A,490200,N/A,Agricultural Officer; Farm Manager; Research Scientist; Agri Entrepreneur; ADA/ADO; IARI Researcher,"4-year Honours degree program in Agriculture covering crop science, soil science, horticulture, agronomy and agricultural economics. Lateral entry available for diploma holders.",N/A,N/A,N/A,N/A
2,M.Sc. Horticulture (Fruit Science),N/A,M.Sc.,Faculty of Agriculture & Life Sciences,Horticulture,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,B.Sc. Agriculture/B.Sc. Horticulture Hons. with 50% marks from a recognized Institution/ University.,50,Science,Direct Entry,N/A,None,48000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Horticulture Officer; Farm Consultant; Research Scientist; Quality Inspector,"Post-graduate program in fruit science covering pomology, orchard management, post-harvest technology, and fruit processing.",N/A,N/A,N/A,N/A
3,M.Sc. Horticulture (Vegetable Science),N/A,M.Sc.,Faculty of Agriculture & Life Sciences,Horticulture,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,B.Sc. Agriculture/B.Sc. Horticulture Hons. with 50% marks froma recognized Institution/ University.,50,Science,Direct Entry,N/A,None,48000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Vegetable Researcher; Seed Company Executive; Horticulture Officer; Farm Advisor,"Specialization in vegetable science covering olericulture, vegetable breeding, seed production and crop protection.",N/A,N/A,N/A,N/A
4,M.Sc. Botany,N/A,M.Sc.,Faculty of Agriculture & Life Sciences,Botany,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,B.Sc. Medical/B.Sc. Botany Hons with 50% marks from a recognized Institution/ University.,50,Science,Direct Entry,N/A,None,42000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Botanist; Research Scientist; College Lecturer; Environmental Consultant,"Advanced study of plant biology including plant physiology, ecology, genetics, and biotechnology.",N/A,N/A,N/A,N/A
5,M.Sc. Zoology,N/A,M.Sc.,Faculty of Agriculture & Life Sciences,Zoology,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,B.Sc. Medical/B.Sc. Zoology Hons with 50% marks from a recognized University.,50,Science,Direct Entry,N/A,None,42000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Zoologist; Wildlife Researcher; Lecturer; Lab Technician,"Study of animal biology including entomology, ecology, genetics, and biotechnology.",N/A,N/A,N/A,N/A
6,M.Sc. Microbiology,N/A,M.Sc.,Faculty of Agriculture & Life Sciences,Microbiology,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,B.Sc. Medical/B.Sc. (MLT)/ B.Sc. Microbiology Hons or its equivalent from a recognized Institute/ University.,50,Science,Direct Entry,N/A,None,42000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Microbiologist; Lab Analyst; Quality Control Officer; Research Scientist,"Advanced microbiology covering medical, industrial and environmental microbiology with modern lab techniques.",N/A,N/A,N/A,N/A
7,M.Sc. Biochemistry,N/A,M.Sc.,Faculty of Agriculture & Life Sciences,Biochemistry,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,B.Sc. Medical/B.Sc. (MLT)/B.Sc. Biochemistry Hons or its equivalent from a recognized Institute/University,50,Science,Direct Entry,N/A,None,42000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Biochemist; Clinical Lab Scientist; Pharmaceutical Researcher; Nutritionist,"Study of chemical processes and substances within living organisms, including molecular biology and enzymology.",N/A,N/A,N/A,N/A
8,M.Sc. Environmental Sciences,N/A,M.Sc.,Faculty of Agriculture & Life Sciences,Environmental Sciences,Science; Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"B.Sc. (Hons)/ B.Sc. Degree (10+2+3 system of education) in any science subject (any combination) with 50% marks, Btech./B.E. (Civil Engineering), Btech/B.E. Environmental Engineering",50,Science; Engineering,Direct Entry,N/A,None,42000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Environmental Consultant; EIA Analyst; Government Officer; Researcher,"Interdisciplinary study of environmental systems, sustainability, pollution control and ecological conservation.",N/A,N/A,N/A,N/A
9,Bachelor of Ayurvedic Medicine & Surgery (BAMS),N/A,BAMS,Faculty of Ayurveda & Research,Ayurveda,Science,Entrance Required,5.5 Years (incl. 1 Year Internship),N/A,N/A,N/A,"10+2 or its equivalent with Physics, Chemistry & Biology) with a minimum of 50% marks Selection process - Through NEET",50,Science,Entrance Required,N/A,NEET,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Ayurvedic Physician; Hospital Doctor; Research Officer; Private Practitioner,"Undergraduate degree in Ayurvedic medicine covering classical Ayurveda texts, modern anatomy, pharmacology, and clinical training.",N/A,N/A,N/A,N/A
10,MD Ayurveda (Rasa-Shastra / Kayachikitsa),N/A,MD (Ayurveda),Faculty of Ayurveda & Research,Ayurveda,Science,Entrance Required,3 Years,N/A,N/A,N/A,BAMS with minimum 55% marks Selection process - Through All India PGET,55,Science,Entrance Required,N/A,PGET,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Physician; Research Scientist; Medical Officer; Faculty,Post-graduate Ayurveda specialization in Rasa-Shastra (pharmaceutical Ayurveda) or Kayachikitsa (internal medicine).,N/A,N/A,N/A,N/A
11,Bachelor of Commerce (B.Com),N/A,B.Com,Faculty of Business Administration & Hospitality Management,Commerce,Any,Direct Entry,3 Year / 6 Sems,N/A,6,N/A,10+2 in any stream with 45% marks (40% for reserve categories as per Govt. norms.) from a recognized Institute/ University,45,Any,Direct Entry,N/A,None,37200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Accountant; CA (after CA exams); Banking Officer; Tax Consultant; Business Analyst,"Undergraduate commerce degree covering accounting, taxation, business law, economics and financial management.",N/A,N/A,N/A,N/A
12,B.Com (Hons. with Research),N/A,B.Com (Hons.),Faculty of Business Administration & Hospitality Management,Commerce,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,Level 1 (Certificate in Commerce) (1Year-2; Semesters); Entry 10+2 in any stream with 45% marks (40% for reserve categories as per Govt. norms.) from a recognized Institute/ University.; Exit: The Student who Completed one year (2; Semesters) and leave the program will be awarded; Certificate in Commerce.; Level 2: (Diploma in Commerce) (2 Year 4; Semesters); Entry: The Student who Completed one year (2; Semesters) of Certificate in Commerce from any; recognized university.; Exit: The Student who Completed Two Year (4; Semesters) and lcave the program will be awarded; Diploma in Commerce; Level 3: (Bachelor of Commerce) (3 Year - 6; Semesters); Entry: The Student who Completed Two Year (4; Semesters) of Diploma in Commerce from any recognized; university.; Exit: The Student who Completed Three Year (6; Semesters) and leave the program will be awarded; Bachelor of Commerce.; Level 4: (Bachelor of Commerce (Hons. with Research); (4 Year -8 Semesters); Entry: The Student who Completed Three year (6; Semesters) of Bachelor of Commerce with 75% marks in; aggregate from any recognized university.; Exit: The Student who Completed Four Year (8; Semesters) and leave the program will be awarded; Bachelor of Commerce (Hons. with research).,45,Any,Direct Entry,N/A,None,43200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Research Analyst; Finance Manager; CA; Investment Banker; Entrepreneur,Four-year Honours program with multiple exit/entry points under NEP 2020. Research component in Year 4.,N/A,N/A,N/A,N/A
13,Bachelor of Business Administration (BBA),N/A,BBA,Faculty of Business Administration & Hospitality Management,Management,Any,Direct Entry,3 Year / 6 Sems,N/A,6,N/A,10+2 pass or its equivalent in any stream from a recognized Board,45,Any,Direct Entry,N/A,None,39600,N/A,5500,N/A,N/A,N/A,N/A,N/A,Business Manager; Entrepreneur; HR Executive; Marketing Manager; MBA aspirant,"Business administration program covering management principles, marketing, HR, finance and entrepreneurship.",N/A,N/A,N/A,N/A
14,BBA (Hons. with Research),N/A,BBA (Hons.),Faculty of Business Administration & Hospitality Management,Management,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,N/A,45,Any,Direct Entry,N/A,None,38400,N/A,5500,N/A,N/A,N/A,N/A,N/A,Research Analyst; Business Consultant; Product Manager; Strategy Lead,Four-year Honours BBA with research component under NEP 2020. Multiple entry-exit levels.,N/A,N/A,N/A,N/A
15,Master of Commerce (M.Com),N/A,M.Com,Faculty of Business Administration & Hospitality Management,Commerce,Commerce; Arts,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,Level 1 (Certificate in Business Administration); (1Year -2 Semesters); Entry: 10+2 pass or its equivalent in any stream from a; recognized Board; Exit: The Student who Completed one year (2 Semesters) and; leave the program will be awarded Certificate in Business; Administration.; Level 2: (Diploma in Business Administration) (2 Year - 4; Semesters); Entry: The Student who Completed one year (2 Semesters) of; Certificate in Business Administration from any recognized; university.; Exit: The Student who Completed Two Year (4 Semesters) and; leave the program will be awarded Diploma in Business; Administration.; Level 3: (Bachelor of Business Administration) (3 Year - 6; Semesters); Entry: The Student who Completed Two year (4 Semesters); of Diploma in Business Administration from any recognized; university.; Exit: The Student who Completed Three Year (6 Semesters); and leave the program will be awarded Bachelor of Business; Administration.; Level 4: (Bachelor of Business Administration (Hons. with; research) (4 Year -8 Semesters); Entry: The Student who Completed Three year (6 Semesters); of Bachelor of Business Administration with 75% marks in; aggregate from any recognized university.; Exit: The Student who Completed Four Year (8 Semesters) and; leave the program will be awarded Bachelor of Business; Administration (Hons. with research).,45,Commerce; Arts,Direct Entry,N/A,None,37800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Accountant; Finance Officer; Tax Consultant; College Lecturer,"Post-graduate commerce degree with specializations in accounting, finance, taxation and business management.",N/A,N/A,N/A,N/A
16,Master of Business Administration (MBA),N/A,MBA,Faculty of Business Administration & Hospitality Management,Management,Any,Direct Entry,2 Year / 4 Sems (Direct) | 1 Year / 2 Sems (Lateral),N/A,4,N/A,Bachelor's degree in Commerce/ Management/ Economics/ Accounting with at least 45% marks from a recognized Institute/ University.,45,Any,Direct Entry,N/A,None,57600,N/A,5500,N/A,N/A,N/A,N/A,N/A,Business Manager; Marketing Head; Finance Director; Entrepreneur; Consultant,"Two-year MBA program with specializations in Marketing, Finance, HR, Operations and International Business.",N/A,N/A,N/A,N/A
17,B.Sc. Hotel Management & Catering Technology,N/A,B.Sc.,Faculty of Business Administration & Hospitality Management,Hotel Management,Any,Direct Entry,3 Year / 6 Sems,N/A,6,N/A,Direct Entry: Bachelor's degree with at least 45% marks from a recognized Institute/University.; Lateral Entry: Bachelor's degree in any steam with one year Post Graduate Diploma in Management or Post Graduation in any stream from a recognized Institute/University.,45,Any,Direct Entry,N/A,None,82800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Hotel Manager; Chef; F&B Manager; Event Planner; Resort Manager,"Specialized degree in hotel operations, food production, housekeeping, front office and hospitality management.",N/A,N/A,N/A,N/A
18,Bachelor of Hotel Management & Catering Technology (BHMCT),N/A,BHMCT,Faculty of Business Administration & Hospitality Management,Hotel Management,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,10+2 or its equivalent in any stream from a recognized Board.,45,Any,Direct Entry,N/A,None,72000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Hotel Manager; F&B Director; Hospitality Consultant; Catering Supervisor,Comprehensive 4-year hotel management program with industrial training.,N/A,N/A,N/A,N/A
19,B.Sc. Hospitality & Hotel Management,N/A,B.Sc.,Faculty of Business Administration & Hospitality Management,Hotel Management,Any,Direct Entry,3 Year / 6 Sems,N/A,6,N/A,10+2 or its equivalent in any stream from a recognized Board.,45,Any,Direct Entry,N/A,None,82800,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,M.Sc. Hotel Management,N/A,M.Sc.,Faculty of Business Administration & Hospitality Management,Hotel Management,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,10+2 or its equivalent in any stream from a recognized Board.,50,Any,Direct Entry,N/A,None,78000,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Master of Tourism & Travel Management (MTTM),N/A,MTTM,Faculty of Business Administration & Hospitality Management,Tourism,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,Bachelor degree from a recognised Institute/University,45,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,Bachelor of Dental Surgery (BDS),N/A,BDS,Faculty of Dental Sciences,Dental Surgery,Science,Entrance Required,4 Year + 1 Year Internship,N/A,N/A,N/A,"Student must have passed class 12th (10+2) boards exams successfully. Must have minimum 50% marks in Physics, Chemistry & Biology subjects in class 12th boards exam. You must have completed the Senior Secondary examination with at least 50% marks to pursue the BDS course. NEET/UG Qualified",50,Science,Entrance Required,N/A,NEET,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Dentist; Oral Surgeon; Orthodontist; Dental Researcher,"Undergraduate dental surgery degree covering dental anatomy, oral medicine, orthodontics, prosthodontics and clinical practice.",N/A,N/A,N/A,N/A
23,MDS (Master of Dental Surgery),N/A,MDS,Faculty of Dental Sciences,Dental Surgery,Science,Entrance Required,3 Years (Annual),N/A,N/A,N/A,They must possess a Bachelor of Dental Surgery (BDS) from a University/ Institute recognised by the DCI. They must be registered with the Dental Council of India (DCI) or State Dental Council (SDC) (permanent/provisional) NEET/PG Qualified,50,Science,Entrance Required,N/A,NEET,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Dentist; Dental Specialist; Academic Faculty; Researcher,Post-graduate specialization in dental surgery with advanced clinical training.,N/A,N/A,N/A,N/A
